snr_db,bler_qpsk,bler_16qam
-5.0,0.999999999999,0.999999999999
-4.5,0.999999999999,0.999999999999
-4.0,0.999999999999,0.999999999999
-3.5,0.999999999999,0.999999999999
-3.0,0.999999999999,0.999999999999
-2.5,0.999999999999,0.999999999999
-2.0,0.999999999999,0.999999999999
-1.5,0.999999999999,0.999999999999
-1.0,0.999999999999,0.999999999999
-0.5,0.999999999999,0.999999999999
0.0,0.999999999999,0.999999999999
0.5,0.999999999999,0.999999999999
1.0,0.999999999999,0.999999999999
1.5,0.999999999999,0.999999999999
2.0,0.999999999999,0.999999999999
2.5,0.999999999976542,0.999999999999
3.0,0.9999999992704844,0.999999999999
3.5,0.9999999820358114,0.999999999999
4.0,0.999999657641449,0.999999999999
4.5,0.9999950454233762,0.999999999999
5.0,0.9999463077081203,0.999999999999
5.5,0.9995677137349928,0.999999999999
6.0,0.997416574582122,0.999999999999
6.5,0.9884631335287146,0.999999999999
7.0,0.9609429448725397,0.999999999999
7.5,0.8975662654900145,0.999999999999
8.0,0.7859950673497368,0.999999999996573
8.5,0.6321204982850028,0.999999999938982
9.0,0.46127721266373267,0.9999999990162138
9.5,0.3042628968788522,0.9999999859492962
10.0,0.18163754824414524,0.9999998260375169
10.5,0.09840412351315897,0.9999981708174475
11.0,0.048451953660717084,0.9999839665696246
11.5,0.02165375310775053,0.9998846753998523
12.0,0.008743176502863936,0.999327427135673
12.5,0.003164440292901305,0.9968428622753229
13.0,0.0010156135212181505,0.9880947682076859
13.5,0.0002852113101549092,0.9637945136680954
14.0,6.899342093491523e-05,0.9103174764305221
14.5,1.4121172758230216e-05,0.8162178268663984
15.0,2.39642336530288e-06,0.6819995275053596
15.5,3.296073628478169e-07,0.5241366596002511
16.0,3.581510488182005e-08,0.3680613764452628
16.5,2.9874911433580564e-09,0.23578316043038305
17.0,1.8525270206737332e-10,0.13791082902814533
17.5,8.242295734817162e-12,0.0737215146288197
18.0,2.5579538487363607e-13,0.035993186999946136
18.5,1e-300,0.015999053037555444
19.0,1e-300,0.006435710804750583
19.5,1e-300,0.002322217537496174
20.0,1e-300,0.0007431695695001572
20.5,1e-300,0.00020807733045158372
21.0,1e-300,5.016965107729199e-05
21.5,1e-300,1.0230982830816693e-05
22.0,1e-300,1.7291524899709643e-06
22.5,1e-300,2.367414430048953e-07
23.0,1e-300,2.559227108012152e-08
23.5,1e-300,2.1224764168437105e-09
24.0,1e-300,1.3076828508928884e-10
24.5,1e-300,5.7696070143720135e-12
25.0,1e-300,1.7053025658242404e-13
